=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_141715.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
=======================================================

   [NAVEGACAO] Acessando Página: 1 | URL: https://www.supercentralonline.com.br/departamentos/bebidas
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Vodka Askov Remix Kiwi 900ml                                                     | R$ 19.99
 ✅ Aperitivo Blend Seven Fire 900ml                                                 | R$ 36.90
 ✅ Aperitivo Blend Seven Black 900ml                                                | R$ 36.90
 ✅ Whisky Johnnie Walker Red Label 1 L                                              | R$ 89.90
 ✅ Aperitivo Blend Seven Red 900ml                                                  | R$ 25.90
 ✅ Aperitivo Bitter Dactari 900ml                                                   | R$ 42.90
 ✅ Aperitivo Bitter Rivari 750ml                                                    | R$ 43.65
 ✅ Vodka Smirnoff 600ml                                                             | R$ 29.90
 ✅ Vodka Skyy 980ml                                                                 | R$ 40.89
 ✅ Whisky Johnnie Walker Black Label 750ml                                          | R$ 158.90
 ✅ Whisky Johnnie Walker Black Label 1 L                                            | R$ 199.90
 ✅ Vodka Balalaika Tradicional 1 L                                                  | R$ 17.99
 ✅ Vodka Askov Remix Blueberry 900ml                                                | R$ 19.99
 ✅ Whisky Drury`s 1 L                                                               | R$ 47.99
 ✅ Whisky Black & White 1 L                                                         | R$ 114.00
 ✅ Whisky Bell`s 700ml                                                              | R$ 59.99
 ✅ Vodka Askov Tradicional 900ml                                                    | R$ 19.99
 ✅ Vodka Orloff 1 L                                                                 | R$ 26.99
 ✅ Whisky Johnnie Walker Red Label 750ml                                            | R$ 95.90
 ✅ Vodka Smirnoff 998ml                                                             | R$ 38.90
 ✅ Whisky Natu Nobilis 1 L                                                          | R$ 48.90
 ✅ Aperitivo St Remy 750ml                                                          | R$ 43.80
 ✅ Aperitivo Chanceler 1 L                                                          | R$ 23.90
 ✅ Whisky Grant`s 1 L                                                               | R$ 84.90
 ✅ Aperitivo Paratudo De Raízes Amargas 900ml                                       | R$ 18.90
 ✅ Aperitivo Jurubeba Leão Do Norte 600ml                                           | R$ 17.39
 ✅ Catuaba Virtude Tradicional 900ml                                                | R$ 17.69
 ✅ Aperitivo Aperol 750ml                                                           | R$ 51.55
 ✅ Whisky Old Red 1 L                                                               | R$ 40.50
 ✅ Aperitivo Steinhaeger Becosa 980ml                                               | R$ 36.90
 ✅ Aperitivo Cynar 900ml                                                            | R$ 29.59
 ✅ Refresco Pó Tang Azul Espacial 18g                                               | R$ 1.25
 ✅ Aperitivo Brasilberg 920ml                                                       | R$ 79.90
 ✅ Catuaba Selvagem Com Açaí 1 L                                                    | R$ 16.99
 ✅ Whisky Johnnie Walker Red Label 500ml                                            | R$ 65.90
